Texto;Ementa;Vereador;Data;Nota;isUtil
"Art. I  Fica denominado Praça Sandra Hitomi Takahashi o Sistema de Recreio 01 (Quarteirão 740, Código Cartográfica 3234.6105.0001, com área de 168,00m 2 ) do loteamento Cidade Universitária Campineira, distrito Barão Geraldo, situado na Avenida Dr. Romeu Tórtima (Avenida 01) do mesmo loteamento.

Art. 2 Esta Lei entra em vigor na data de sua publicação.";DENOMINA PRAÇA SANDRA HITOMI TAKAHASHI UM SISTEMA DE RECREIO DO MUNICÍPIO DE CAMPINAS.;Carmo Luiz;2019;9;não
"Art. lº  Ficam proibidos a comercialização e o uso de espumas, serpentinas e produtos similares acondicionados em spray no município de Campinas.

§ lº A proibição de que trata o caput abrange os produtos com a denominação ""espuma de Carnaval"", ""neve de Carnaval"", ""neve artificial"", ""serpentina"", ""teia"" ou denominação similar acondicionados em sprê1y que possam entrai- em contato direto com a pele, mucosas ou olhos.

§ 2º As espumas E xpansivas de aplicação na indústria, na construção civil e em outras atividades regulamentadas ficam excluídas da proibição de que trata o caput.

Art. 2º O Poder Executivo, por meio de seus órgãos competentes, promoverá ações de fiscalização dos estabelecimentos que comercializarem o:s produtos a que se referem o caput e o § lº do art. 1º desta Lei.

Parágrafo unico. A atuação dos agentes de fiscalização poderá ocorrer independentemente de denúncia ou reclamação.

Art. 3º O descumprimento do disposto nesta Lei acarretará ao estabelecimento infrator a aplicação de multa no valor de 500 (quinhentas) Unidades Fiscais de Campinas - UFICs, que será dobrado na primeira reincidência e quadruplicado a partir da segunda reincidência, sem prejuízo das demais penalidades aplicáveis.

Parágrafo único. Será considerado reincidência o cometimento por mais de uma vez da mesma infração tipificada nesta Lei no mesmo dia ou em até trinta dias contados da primeira expedição do auto de infração.

Art. 4º	A receita da aplicação das multas será revertida para o Fundo de Recuperação, Manutenção e Preservação do Meio Ambiente - Proamb.

Art. 5º Na hipótes,e de o infrator ser vendedor ambulante, ocorrerá apenas a apreensão dos produtos a que se referem o caput e o § lº	cio art. lº desta Lei, sem preJuízo de outras sanções que couberem na forma da lei.
Art. 6º  Quando em posse de usuário, os produtos referidos no caput e no
§ lº	do art. lº	serão sumariamente apreendidos, não tendo o infrator direito a qualquer indenização nem à restituição dos produtos.

Art. 7º Esta Lei entra em vigor na data de sua publicação.";PROÍBE O COMÉRCIO E O USO DOS PRODUTOS QUE ESPECIFICA ACONDICIONADOS EM SPRAY NO MUNICÍPIO DE CAMPINAS E DÁ OUTRAS PROVIDÊNCIAS.;Luiz Rossini;2019;13;não
"Art. 1 0 Poder Executivo municipal deverá disponibilizar, por meio do site oficial da Prefeitura Municipal de Campinas, um espaço em área de fácil acesso denominado Portal de Obras Públicas, obrigatoriamente com as seguintes informações de todas as obras públicas do Município:
I	- nome da obra,
II	- classificação da obra,
III	- número da licitação correspondente à contratação da empresa responsável pela obra,
IV	- número do contrato,
V	- empresa responsável por executar a obra,
VI	- valor estimado da obra,
VII	- valor adicional da obra, se houver termo aditivo,
VIII	- situação em que se encontra a obra,
IX	- data de início da obra,
X	- data de término da obra,
XI	- prazo de prorrogação da obra, se for o caso,
XII	- especificação e valor da fonte de recursos,
XIII	- cronograma das ações que serão realizadas durante a obra,
XIV	- anexos referentes à obra,
XV	- justificativa de interrupção, paralisação ou cancelamento da obra, se for o caso.

Parágrafo único. Nos anexos deverão constar a planilha orçamentária, o contrato com a empresa responsável pela obra e os termos aditivos, caso existam.

Art. 2 As informações de que trata o art. I P deverão ser disponibilizadas sem prejuízo de outras informações que estiverem organizadas no site oficial da Prefeitura Municipal de Campinas.

Art. 3 As despesas decorrentes da execução desta Lei correrão por conta de verbas orçamentárias próprias.

Art. 4 Esta Lei entra em vigor após decorridos cento e oitenta dias de sua publicação oficial.
 
Art. Ficam revogadas as disposições em contrário.";DISPÕE SOBRE O ACESSO ÀS INFORMAÇÕES A RESPEITO DE OBRAS PÚBLICAS DO MUNICÍPIO DE CAMPINAS POR MEIO DO SITE DA PREFEITURA MUNICIPAL.;Luiz Cirilo;2019;1;sim
"Art. 1 Fica denominada Praça Iracema Costa a Praça 4 (Quarteirão 7.508, Código Cartográfico 3334.64.54.0001, com área de 2.370,00m 2) do loteamento Jardim Maracanã, situada na Rua Edson Luiz Rigonatto (Rua 13), ao lado da Quadra B, no mesmo loteamento.

Art. 2 Esta Lei entra em vigor na data de sua publicação.";DENOMINA PRAÇA IRACEMA COSTA UMA PRAÇA PÚBLICA DO MUNICÍPIO DE CAMPINAS.;Carlão do PT;2019;9;não
"Art. 1 Ficam alterados os SS I P e 3 2 do art. 2 2 da Lei n? 14.789, de 4 de abril de 2014, que passa a vigorar com a seguinte redação:
""Art. 2 2 
S 1 2 0 atendimento prioritário de que trata esta Lei será oferecido em quaisquer caixas, guichês ou unidades disponíveis para o atendimento ao público em geral.
 
S 3 2 Os estabelecimentos que tenham pavimentos superiores com caixas de atendimento deverão manter atendimento prioritário em todos os caixas de cada andar,
 (NR)";ALTERA A REDAÇÃO DOS §§ 1º E 3º DO ART. 2º DA LEI Nº 14.789, DE 4 DE ABRIL DE 2014, QUE DISPÕE SOBRE ATENDIMENTO PRIORITÁRIO NO MUNICÍPIO DE CAMPINAS.;Paulo Galterio;2019;7;não
"Art. I Fica estabelecida a prioridade do pagamento dos vencimentos dos servidores públicos municipais ativos e inativos e dos pensionistas do Município de Campinas sobre o pagamento dos subsídios ou vencimentos mensais do prefeito, do vice-prefeito, dos secretários e dos subsecretários municipais.
Art. 2 As despesas com a execução desta Lei correrão por conta de dotações orçamentárias próprias, suplementadas se necessário.
Art. 3 Esta Lei entra em vigor na data de sua publicação.";DISPÕE SOBRE A PRIORIDADE DO PAGAMENTO DOS VENCIMENTOS DOS SERVIDORES MUNICIPAIS ATIVOS E INATIVOS E DOS PENSIONISTAS DO MUNICÍPIO DE CAMPINAS.;Tenente Santini;2019;5;sim
"A Câmara Municipal de Campinas aprovou, e eu, Prefeito Municipal de Campinas, sanciono e promulgo a seguinte lei:
Art. 10 Fica obrigatória a aquisição de aparelhos de ultrassom para examinar árvores com riscos de queda no Município de Campinas.
Art. 20 0 Poder Executivo regulamentará a presente Lei, estabelecendo os requisitos necessários à instalação.
Art. 30 Esta Lei entra em vigor na data de sua publicação.";DISPÕE SOBRE A OBRIGATORIEDADE DE APARELHOS DE ULTRASSOM PARA EXAMINAR ÁRVORES COM RISCOS DE QUEDA NO MUNICÍPIO, E DÁ OUTRAS PROVIDÊNCIAS.;Carmo Luiz;2019;6;não
"Art. 1 Fica alterado o caput do art. 19-B da Lei n? 11.111, de 26 de dezembro de 2001, que passa a vigorar corri a seguinte redação:
""Art. 19-B A diferença nominal, a maior, entre o crédito tributário total do IPTU do exercício do lançamento e o do exercício anterior, em quantidade de UFICs, fica limitada a 30% (trinta por cento) para fatos geradores ocorridos no exercício de 2018 e a 10% (dez por cento) para fatos geradores ocorridos no exercício de 2019.
 
Art. 2 As despesas decorrentes da execução desta Lei correrão por conta de dotações orçamentárias próprias, suplementadas se necessário.
Art. 3 Esta Lei entra em vigor na data de sua publicação.
Art. 4 Ficam revogadas as disposições em contrário.";ALTERA DISPOSITIVO DA LEI Nº 11.111, DE 26 DE DEZEMBRO DE 2001, QUE “DISPÕE SOBRE O IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA – IPTU, E DÁ OUTRAS PROVIDÊNCIAS”.;Zé Carlos, Gilberto Vermelho, Nelson Hossri;2019;1;sim
"Art. I Fica determinada a implantação do Ambulatório Veterinário Móvel para cães e gatos, o qual realizará seu atendimento de forma itinerante por todos os bairros do município, conforme a demanda de cada região.
Parágrafo único. O serviço deverá ser prestado por meio de ônibus ou micro-ônibus adaptado para finalidades médicas.
Art. 2 0 Ambulatório Veterinário Móvel, além de outros serviços estabelecidos pelo Departamento de Proteção e Bem-Estar Animal, deverá ofertar:
I	- consultas,
II	- vacinação,
III	- vermifugação,
IV	- tratamentos preventivos,
V	- procedimentos simples,
VI	- orientação aos proprietários sobre os cuidados básicos com os animais.
Parágrafo único. Após consulta, caso o animal necessite de atendimento especializado ou de serviço não ofertado pelo Ambulatório Veterinário Móvel, o veterinário responsável orientará o proprietário do animal sobre o tratamento que deverá ser realizado e onde este pode ser encontrado.
Art. 3 A estrutura de atendimento, a forma de agendamento e outras especificações necessárias à realização do serviço serão determinadas pelo Departamento de Proteção e Bem-Estar Animal.
Art. 4 As despesas decorrentes da execução desta Lei correrão por conta de dotações
orçamentárias próprias, suplementadas se necessário.
Art. 5 Esta Lei entra em vigor na data de sua publicação.
Art. 6 Ficam revogadas as disposições em contrário";DETERMINA A IMPLANTAÇÃO DO AMBULATÓRIO VETERINÁRIO MÓVEL PARA CÃES E GATOS NO MUNICÍPIO DE CAMPINAS.;Permínio Monteiro;2019;6;não
"Art. 10 Fica implantado o Programa ""Bueiro Inteligente"", que objetiva a prevenção cle enchentes no município de Campinas-SP.
S 10 0 Bueiro Inteligente é composto de duas partes:
 eco filtro instalado no interior dos bueiros, confeccionado com material termoplástico com capacidade de 300 (trezentos) litros que age como uma peneirei, permitindo que a água passe, retendo os materiais sólidos, e
II — software para identificar e gerenciar a situação dos bueiros e bocas de lobo.
Art. 20 A critério da Administração Municipal, o Programa ""Bueiro Inteligente"" poderá ser implantado em todo o município, podendo o Poder Executivo realizar os procedimentos licitatórios que entender adequados e, ainda, firmar convênios corn entidades e órgãos ambientais em nível federal e estadual, objetivando a captação de recursos para a implantação dos bueiros inteligentes tratados nesta lei.
Art. 3 0 As despesas decorrentes desta lei correrão por conta de dotações orçamentárias próprias, suplementadas se necessário.
Art. 40 Esta Lei entra em vigor na data de sua publicação.";"DISPÕE SOBRE A IMPLANTAÇÃO DO PROGRAMA ""BUEIRO INTELIGENTE"" PARA PREVENÇÃO DE ENCHENTES NO MUNICÍPIO DE CAMPIAS E DÁ OUTRAS PROVIDÊNCIAS.";Marcelo Silva;2019;6;não
